Founders Demo Co,,,,,,,,,,
General Ledger,,,,,,,,,,
January 1 - December 31, 2026,,,,,,,,,,
,,,,,,,,,,
,Date,Transaction Type,Num,Name,Vendor,Customer,Memo/Description,Split,Amount,Balance
1000 Checking,,,,,,,,,,
,01/01/2026,Check,2008,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,-980.00
,01/01/2026,Check,2009,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,-4380.00
,01/02/2026,Deposit,2001,Owner,,,Opening capital,3000 Owners Equity,100000.00,95620.00
,01/15/2026,Check,2007,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-12500.00,83120.00
,01/26/2026,Expense,2004,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-470.00,82650.00
,01/28/2026,Check,2016,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,82440.00
,01/30/2026,Deposit,2017,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,82485.00
,02/01/2026,Check,2029,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,81505.00
,02/01/2026,Check,2030,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,78105.00
,02/06/2026,Credit Card Payment,2039,Chase,Chase,,Pay card balance in full,2100 Credit Card,-3490.00,74615.00
,02/09/2026,Check,2344,Apple,Apple,,Laptops for new hires,1500 Computer Equipment,-6200.00,68415.00
,02/10/2026,Bill Payment,2025,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-2400.00,66015.00
,02/10/2026,Bill Payment,2027,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,65615.00
,02/10/2026,Bill Payment,2037,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,64115.00
,02/15/2026,Payment,2019,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,9800.00,73915.00
,02/15/2026,Payment,2021,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,80315.00
,02/15/2026,Check,2028,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-12500.00,67815.00
,02/26/2026,Expense,2023,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-738.00,67077.00
,02/28/2026,Check,2038,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,66867.00
,02/30/2026,Deposit,2040,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,66912.00
,03/01/2026,Check,2054,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,65932.00
,03/01/2026,Check,2055,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,62532.00
,03/06/2026,Credit Card Payment,2067,Chase,Chase,,Pay card balance in full,2100 Credit Card,-3548.00,58984.00
,03/10/2026,Bill Payment,2050,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-2484.00,56500.00
,03/10/2026,Bill Payment,2052,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,56100.00
,03/10/2026,Bill Payment,2062,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,54600.00
,03/15/2026,Payment,2042,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,10045.00,64645.00
,03/15/2026,Payment,2044,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,71045.00
,03/15/2026,Payment,2047,Stark Industries,,Stark Industries,Invoice payment,1200 Accounts Receivable,9000.00,80045.00
,03/15/2026,Check,2053,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-12500.00,67545.00
,03/26/2026,Expense,2048,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-887.00,66658.00
,03/28/2026,Check,2066,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,66448.00
,03/30/2026,Deposit,2068,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,66493.00
,04/01/2026,Check,2084,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,65513.00
,04/01/2026,Check,2085,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,62113.00
,04/06/2026,Credit Card Payment,2096,Chase,Chase,,Pay card balance in full,2100 Credit Card,-6572.00,55541.00
,04/10/2026,Bill Payment,2079,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-2571.00,52970.00
,04/10/2026,Bill Payment,2081,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,52570.00
,04/10/2026,Bill Payment,2093,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,51070.00
,04/10/2026,Bill Payment,2094,Wilson & Gray LLP,Wilson & Gray LLP,,Pay bill,2000 Accounts Payable,-2600.00,48470.00
,04/15/2026,Payment,2070,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,10296.00,58766.00
,04/15/2026,Payment,2072,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,65166.00
,04/15/2026,Payment,2074,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,70066.00
,04/15/2026,Payment,2076,Stark Industries,,Stark Industries,Invoice payment,1200 Accounts Receivable,9000.00,79066.00
,04/15/2026,Check,2083,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-12500.00,66566.00
,04/26/2026,Expense,2077,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-895.00,65671.00
,04/28/2026,Check,2095,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,65461.00
,04/30/2026,Deposit,2097,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,65506.00
,05/01/2026,Check,2114,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,64526.00
,05/01/2026,Check,2115,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,61126.00
,05/06/2026,Credit Card Payment,2125,Chase,Chase,,Pay card balance in full,2100 Credit Card,-4374.00,56752.00
,05/10/2026,Bill Payment,2108,Amazon Web Services,Amazon Web Services,,Pay bill,2000 Accounts Payable,-2661.00,54091.00
,05/10/2026,Bill Payment,2110,Cloudflare,Cloudflare,,Pay bill,2000 Accounts Payable,-400.00,53691.00
,05/10/2026,Bill Payment,2112,Datadog,Datadog,,Pay bill,2000 Accounts Payable,-680.00,53011.00
,05/10/2026,Bill Payment,2123,Startup Accounting Advisors,Startup Accounting Advisors,,Pay bill,2000 Accounts Payable,-1500.00,51511.00
,05/15/2026,Payment,2099,Acme Corp,,Acme Corp,Invoice payment,1200 Accounts Receivable,10554.00,62065.00
,05/15/2026,Payment,2101,Globex Inc,,Globex Inc,Invoice payment,1200 Accounts Receivable,6400.00,68465.00
,05/15/2026,Payment,2103,Initech LLC,,Initech LLC,Invoice payment,1200 Accounts Receivable,4900.00,73365.00
,05/15/2026,Payment,2105,Stark Industries,,Stark Industries,Invoice payment,1200 Accounts Receivable,9000.00,82365.00
,05/15/2026,Check,2113,Gusto,Gusto,,Payroll and benefits,6000 Payroll & Benefits,-12500.00,69865.00
,05/26/2026,Expense,2106,Stripe,Stripe,,Payment processing fees,5100 Merchant Processing Fees,-902.00,68963.00
,05/28/2026,Check,2124,First Republic Bank,First Republic Bank,,Loan interest,8000 Interest Expense,-210.00,68753.00
,05/30/2026,Deposit,2126,First Republic Bank,,,Interest earned,7000 Interest Income,45.00,68798.00
,06/01/2026,Check,2142,Blue Shield of CA,Blue Shield of CA,,Payroll and benefits,6000 Payroll & Benefits,-980.00,67818.00
,06/01/2026,Check,2143,WeWork,WeWork,,Office rent,6100 Rent & Facilities,-3400.00,64418.00
,06/06/2026,Credit Card Payment,2156,Chase,Chase,,Pay card balance in full,2100 Credit Card,-4252.00,60166.00
